Maand_laden;B_PROVINCIE;postcode;AANTAL_TRANSPORTEN;KG_VRACHT_TOTAAL;Aantal paarden per locatie;aantal_laadlocaties
1;IMPORT;1121NM;2;25.200;2,5;1
1;IMPORT;2153KG;1;13.500;1,4;2
1;IMPORT;2200;1;19.800;2;1
1;IMPORT;2223LA;2;43.300;4,3;2
1;IMPORT;2240;5;78.540;7,9;1
1;IMPORT;2260;8;138.540;13,9;1
1;IMPORT;2300;1;18.570;1,9;1
1;IMPORT;2310;2;49.980;5;1
1;IMPORT;2320;1;33.220;3,3;1
1;IMPORT;2328;1;4.250;0,4;1
1;IMPORT;2330;2;22.460;2,2;1
1;IMPORT;2370;1;13.930;1,4;1
1;IMPORT;2382;4;64.760;6,5;1
1;IMPORT;2390;18;210.130;21;1
1;IMPORT;2460;13;112.580;11,3;1
1;IMPORT;2500;3;27.670;2,8;1
1;IMPORT;2520;3;56.540;5,7;1
1;IMPORT;2530;3;23.240;2,3;1
1;IMPORT;2550;6;84.900;8,5;1
1;IMPORT;2560;1;22.000;2,2;1
1;IMPORT;2630;1;25.380;2,5;1
1;IMPORT;2841LL;1;9.500;1;2
1;IMPORT;2861GH;5;35.700;3,6;1
1;IMPORT;2910;3;37.610;3,8;1
1;IMPORT;2920;12;146.310;14,6;1
1;IMPORT;2950;1;22.240;2,2;1
1;IMPORT;2960;17;345.700;34,6;1
1;IMPORT;2970;4;73.310;7,3;1
1;IMPORT;2980;3;50.250;5;1
1;IMPORT;2989AV;1;6.000;0,6;2
1;IMPORT;2990;24;278.480;27,8;1
1;IMPORT;2993AG;1;7.000;0,7;1
1;IMPORT;3080;1;24.840;2,5;1
1;IMPORT;3084NH;2;8.000;0,8;1
1;IMPORT;3161PH;2;3.200;0,3;2
1;IMPORT;3176PN;2;5.000;0,5;1
1;IMPORT;32289;5;106.440;10,6;1
1;IMPORT;3255LL;2;2.500;0,3;2
1;IMPORT;33334;7;86.960;8,7;1
1;IMPORT;3771RN;3;35.700;3,6;1
1;IMPORT;3781NN;1;7.700;0,8;3
1;IMPORT;3849NG;1;5.500;0,6;2
1;IMPORT;3886PN;1;11.000;1,1;2
1;IMPORT;3891DA;2;10.000;1;1
1;IMPORT;40229;5;116.500;11,7;1
1;IMPORT;40474;1;14.100;1,4;1
1;IMPORT;40489;5;65.200;6,5;1
1;IMPORT;40589;3;60.400;6;1
1;IMPORT;40595;5;94.000;9,4;1
1;IMPORT;40629;16;331.710;33,2;1
1;IMPORT;40667;3;33.000;3,3;1
1;IMPORT;40668;7;113.900;11,4;1
1;IMPORT;40670;2;41.350;4,1;1
1;IMPORT;40699;6;127.300;12,7;1
1;IMPORT;40721;3;63.500;6,4;1
1;IMPORT;40724;10;148.720;14,9;1
1;IMPORT;40764;3;64.000;6,4;1
1;IMPORT;40789;2;48.000;4,8;1
1;IMPORT;40822;10;226.060;22,6;1
1;IMPORT;40882;3;66.200;6,6;1
1;IMPORT;40883;5;91.300;9,1;1
1;IMPORT;40885;13;132.550;13,3;1
1;IMPORT;41066;11;156.690;15,7;1
1;IMPORT;41068;3;42.710;4,3;1
1;IMPORT;41179;2;28.400;2,8;1
1;IMPORT;41189;1;9.000;0,9;1
1;IMPORT;41238;1;8.000;0,8;1
1;IMPORT;41334;25;440.350;44;1
1;IMPORT;41352;8;50.220;5;1
1;IMPORT;41363;16;286.500;28,7;1
1;IMPORT;41468;4;61.500;6,2;1
1;IMPORT;41472;3;40.200;4;1
1;IMPORT;41516;1;10.500;1,1;1
1;IMPORT;41541;1;3.000;0,3;1
1;IMPORT;41564;6;79.200;7,9;1
1;IMPORT;41748;4;26.100;2,6;1
1;IMPORT;41749;11;106.300;10,6;1
1;IMPORT;41751;8;127.000;12,7;1
1;IMPORT;41836;10;113.190;11,3;1
1;IMPORT;42113;1;15.600;1,6;1
1;IMPORT;42117;1;10.310;1;1
1;IMPORT;42119;4;46.900;4,7;1
1;IMPORT;42369;4;49.410;4,9;1
1;IMPORT;42489;4;80.940;8,1;1
1;IMPORT;4251XX;2;13.000;1,3;2
1;IMPORT;42551;14;161.900;16,2;1
1;IMPORT;42553;4;101.500;10,2;1
1;IMPORT;42555;4;74.000;7,4;1
1;IMPORT;42579;15;224.810;22,5;1
1;IMPORT;42697;4;74.700;7,5;1
1;IMPORT;42799;2;42.400;4,2;1
1;IMPORT;44143;2;45.800;4,6;1
1;IMPORT;44227;17;273.650;27,4;1
1;IMPORT;44229;10;104.190;10,4;1
1;IMPORT;44289;1;24.100;2,4;1
1;IMPORT;44319;3;55.310;5,5;1
1;IMPORT;44329;6;52.330;5,2;1
1;IMPORT;44339;14;255.310;25,5;1
1;IMPORT;44357;3;36.480;3,6;1
1;IMPORT;44388;7;103.130;10,3;1
1;IMPORT;44577;6;92.310;9,2;1
1;IMPORT;44579;10;178.030;17,8;1
1;IMPORT;44628;2;38.750;3,9;1
1;IMPORT;44651;3;41.280;4,1;1
1;IMPORT;44795;2;22.230;2,2;1
1;IMPORT;44797;1;25.900;2,6;1
