Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT 
2024;0000BL;1;42200
2024;1016GR;1;150100
2024;1023CD;1;180000
2024;1027AH;1;48500
2024;1028AZ;1;20000
2024;1028BA;1;581200
2024;1047AZ;1;23051400
2024;1054GT;1;633600
2024;1063VN;1;29000
2024;1066CA;1;543500
2024;1067PJ;1;157000
2024;1067TH;1;226800
2024;1083HP;1;157000
2024;1096CR;1;414890
2024;1103SB;1;612500
2024;1108AZ;1;272500
2024;1108BM;1;15000
2024;1109BN;1;219900
2024;1111HP;1;625840
2024;1111PP;1;143000
2024;1121NM;1;264200
2024;1121NW;1;641500
2024;1127PM;1;223000
2024;1141HH;1;196100
2024;1141PD;1;75900
2024;1151EC;1;240000
2024;1151ED;1;532700
2024;1153PK;1;399200
2024;1161GG;1;10900
2024;1165MX;1;885300
2024;1171RC;1;185000
2024;1175KC;1;350000
2024;1175KM;1;33000
2024;1175KX;1;41500
2024;1182AA;1;547860
2024;1182AC;1;1180200
2024;1183TA;1;300400
2024;1183TK;1;14000
2024;1183TP;1;96800
2024;1187ZT;1;220300
2024;1187ZV;1;196000
2024;1188VJ;1;858100
2024;1188XJ;1;279700
2024;1191KK;1;1632880
2024;1191KM;1;273500
2024;1191KN;1;195000
2024;1191LG;1;226300
2024;1213RM;2;874000
2024;1213TR;1;738100
2024;1218XX;1;153800
2024;1222ZZ;1;369000
2024;1223LX;1;8800
2024;1231KR;1;1127400
2024;1231KZ;1;792400
2024;1251CJ;1;738000
2024;1261TJ;1;30000
2024;1261TP;1;37500
2024;1309BB;1;679700
2024;1311PA;1;732100
2024;1333ZR;1;621500
2024;1338GA;1;1148700
2024;1358BP;1;245600
2024;1381GZ;1;60070
2024;1381HH;1;562500
2024;1391GT;1;1027600
2024;1391HJ;1;508900
2024;1391HM;1;131200
2024;1391HN;1;60160
2024;1391HW;1;5000
2024;1391JH;1;134000
2024;1391KP;1;321900
2024;1393PJ;1;630100
2024;1394AB;2;1588500
2024;1398PC;1;9000
2024;1398PE;1;119600
2024;1399EP;1;1419500
2024;1411AX;1;52200
2024;1423ST;1;51400
2024;1426RW;1;248600
2024;1431BM;1;49920
2024;1432BJ;2;551900
2024;1432BK;1;950400
2024;1432BL;3;890600
2024;1432CB;3;5653200
2024;1432CD;1;639000
2024;1432CP;1;197500
2024;1435EK;1;297300
2024;1435GE;1;54100
2024;1446WJ;1;33000
2024;1447AB;1;809300
2024;1456NG;1;1363300
2024;1456NH;2;821140
2024;1456NK;1;817300
2024;1456NM;1;1113900
2024;1458PP;1;199000
2024;1461BN;1;749580
2024;1461DB;1;10000
2024;1461DR;3;127800
2024;1461DS;1;190700
2024;1461GB;1;544000
2024;1461HT;1;34320
2024;1461LC;1;198000
2024;1462HE;1;96000
2024;1462JR;1;190000
2024;1462LJ;1;635300
2024;1462LK;1;342000
2024;1462MG;1;442000
2024;1463HA;3;765620
2024;1463PG;1;997860
2024;1464GA;2;643600
2024;1464NA;1;39000
2024;1464NK;1;136000
2024;1471CB;1;1581100
2024;1471CH;1;733800
2024;1472BD;1;145000
2024;1473PB;1;109620
2024;1473PP;1;18000
2024;1475JJ;1;49220
2024;1481AN;1;145500
2024;1488AB;1;80100
2024;1488AC;1;584980
2024;1488AG;1;765500
2024;1488AK;1;216980
2024;1511AP;1;1182000
2024;1511GK;1;284080
2024;1531KE;1;468500
2024;1546LM;1;673700
2024;1551PG;1;180000
2024;1566AK;1;19280
2024;1566AP;1;157700
2024;1566AZ;1;1072300
2024;1566NC;1;14000
2024;1566PH;1;123760
2024;1566PJ;1;23100
2024;1566PL;1;139000
2024;1566PN;1;311200
2024;1602DR;1;641400
2024;1606AB;1;126340
2024;1608HH;1;793700
2024;1608MA;1;16000
2024;1611BT;1;332000
2024;1613PG;1;577920
2024;1614LH;1;23000
2024;1619JE;2;616800
2024;1619PR;2;275500
2024;1645VK;1;181480
2024;1647AD;1;87800
2024;1647CB;1;326380
2024;1647MD;1;180000
