Jaar_laden;POSTCODE_LADEN;AANTAL_LAADLOCATIES; Totaal_KG_VRACHT ;Naam stal;Straat + huisnummer;Plaats;KVK nummer;tel nummer ;;;;
2024;0000BL;1;42200;;;;;;;;;
2024;1016GR;1;150100;;;;;;;;;
2024;1023CD;1;180000;;;;;;;;;
2024;1027AH;1;48500;Gj Van Meerveld;Broekergouw 16;Amsterdam;33205572;06 55542377;;;;
2024;1028AZ;1;20000;;;;;;;;;
2024;1028BA;1;581200;Melman Friese Paarden;Belmermeer 5;Amsterdam;;020-4031587;;;;
2024;1047AZ;1;23051400;;;;;;;;;
2024;1054GT;1;633600;De Hollandsche Manege;Vondelstraat 140;Amsterdam;;020-6180942;;;;
2024;1063VN;1;29000;;;;;;;;;
2024;1066CA;1;543500;Stichting Manege de Ruif;Sloterweg 675;Amsterdam;;020-6156667;;;;
2024;1067PJ;1;157000;;;;;;;;;
2024;1067TH;1;226800;;;;;;;;;
2024;1083HP;1;157000;;;;;;;;;
2024;1096CR;1;414890;Bereden Politie Nederland Amsterdam;Ouderkerkerdijk 140;Amsterdam;;9008844;;;;
2024;1103SB;1;612500;;;;;;;;;
2024;1108AZ;1;272500;;;;;;;;;
2024;1108BM;1;15000;;;;;;;;;
2024;1109BN;1;219900;;;;;;;;;
2024;1111HP;1;625840;Stichting Manege De Eenhoorn;Landlust 3;;;020-6953161;;;;
2024;1111PP;1;143000;;;;;;;;;
2024;1121NM;1;264200;;;;;;;;;
2024;1121NW;1;641500;Stal Kok;van Beekstraat 294;Landsmeer;52776476;06 51388856;;;;
2024;1127PM;1;223000;;;;;;;;;
2024;1141HH;1;196100;;;;;;;;;
2024;1141PD;1;75900;Maatschap Schouten;Overleek 1;Monnickendam;37159663;0299 654 185;;;;
2024;1151EC;1;240000;;;;;;;;;
2024;1151ED;1;532700;Stal Baco;Belmermeer 5;Broek in Waterland;37155118;06 57252485;;;;
2024;1153PK;1;399200;Veehouderbedrijf C Deun;Gouw 11;Zuiderwoude;37155036;020 403 1248;;;;
2024;1161GG;1;10900;;;;;;;;;
2024;1165MX;1;885300;;;;;;;;;
2024;1171RC;1;185000;;;;;;;;;
2024;1175KC;1;350000;;;;;;;;;
2024;1175KM;1;33000;;;;;;;;;
2024;1175KX;1;41500;;;;;;;;;
2024;1182AA;1;547860;;;;;;;;;
2024;1182AC;1;1180200;;;;;;;;;
2024;1183TA;1;300400;;;;;;;;;
2024;1183TK;1;14000;;;;;;;;;
2024;1183TP;1;96800;;;;;;;;;
2024;1187ZT;1;220300;;;;;;;;;
2024;1187ZV;1;196000;;;;;;;;;
2024;1188VJ;1;858100;;;;;;;;;
2024;1188XJ;1;279700;;;;;;;;;
2024;1191KK;1;1632880;;;;;;;;;
2024;1191KM;1;273500;;;;;;;;;
2024;1191KN;1;195000;;;;;;;;;
2024;1191LG;1;226300;Jc De Dood;Middenweg 7;Ouderkerk aan de Amstel;34331795;020 496 1869;;;;
2024;1213RM;2;874000;;;;;;;;;
2024;1213TR;1;738100;Stal Prinsenburg Bv;Utrechtseweg 269;Hilversum;66596602;035 577 2455;;;;
2024;1218XX;1;153800;;;;;;;;;
2024;1222ZZ;1;369000;;;;;;;;;
2024;1223LX;1;8800;;;;;;;;;
2024;1231KR;1;1127400;;;;;;;;;
2024;1231KZ;1;792400;;;;;;;;;
2024;1251CJ;1;738000;De Larense Manege;Rijksweg-West 37;;;035-5314086;;;;
2024;1261TJ;1;30000;Stal Rieder;Kerkpad 12;Blaricum;66309581;06 22400191;;;;
2024;1261TP;1;37500;;;;;;;;;
2024;1309BB;1;679700;Hippisch Centrum Perier;Botterweg 2 4;;;613448809;;;;
2024;1311PA;1;732100;;;;;;;;;
2024;1333ZR;1;621500;;;;;;;;;
2024;1338GA;1;1148700;;;;;;;;;
2024;1358BP;1;245600;;;;;;;;;
2024;1381GZ;1;60070;Stoeterij Fra Skoti;Horn 25;Weesp;32147460;06 55892336;;;;
2024;1381HH;1;562500;;;;;;;;;
